appid,price,rating_count_tot
1070689426,0.99,166
1070702119,0,0
1070709625,0,475
1070716801,3.99,21
1070725569,0,0
1070850573,5.99,15
1070854722,2.99,0
1070855108,0,239
1070864992,0,1799
1070998254,0.99,732
1070999857,0,4544
1071006943,0,39
1071021891,0,15
1071039429,0,0
1071045817,0,0
1071077611,0,0
1071086525,0.99,12
1071146166,2.99,106
1071154495,1.99,9752
1071224055,0,109
1071235820,1.99,0
1071310449,0,33698
1071366753,0,122
1071426243,0,2088
1071497654,0,1
1071504918,0.99,23
1071511733,0,138
1071516797,1.99,1
1071521565,0,37
1071633581,2.99,111
1071711895,1.99,1802
1071712425,0.99,1
1071767366,0,273
1071770565,0,0
1071770573,0,0
1071879826,1.99,10
1071897944,0.99,49
1071913738,0,34
1071974253,0,0
1071976079,1.99,23
1071976327,0,10263
1072007547,0,0
1072090698,0,378
1072136623,0,18
1072159054,0,53
1072276976,2.99,30
1072278593,0,0
1072353174,1.99,684
1072364990,1.99,34
1072380719,0,2265
1072382299,0.99,0
1072395467,3.99,346
1072408580,3.99,46
1072425152,4.99,0
1072456036,0,796
1072527403,0,468
1072600030,0,27
1072628005,0,0
1072650248,2.99,10
1072670055,0.99,3
1072675851,0.99,0
1072737282,4.99,524
1072752496,0,0
1072844973,0,62
1072881532,4.99,67
1072898300,0,364
1072950932,0,8402
1072976627,0,0
1072990945,0,0
1073002250,0,397
1073014391,0,2163
1073035133,0,0
1073059009,0,1878
1073059261,0,70
1073081246,0,0
1073129594,3.99,447
1073142282,4.99,80
1073166647,0,737
1073286211,0,24507
1073389796,0,1771
1073402202,0,59
1073473120,2.99,184
1073476012,0,3207
1073500846,2.99,62
